,name
1131,basava
1132,samoti
1133,badrunisha
1134,priynka katara
1135,babli sultana
1136,tapsya
1137,sunita  ajab singh
1138,kali bai  hari singh banjara ro chortalai  hal
1139, mohani bai
1140,shushree
1141,darfasha
1142,jamana
1143,sawra
1144,sahanaj khatun
1145,kumari
1146,rojmen
1147,aged
1148,harmit
1149,bhagwati  bhagoti devi
1150,kamlash   with two child 
1151,fatima khatun
1152,dendor
1153,palak  simran
1154, kmla davi
1155,naziya siddiqui
1156,sonu kumari
1157,sanju urf sanjya
1158,kanak
1159,dholi devi
1160,neha  monti
1161,jasvinder kour
1162,gango
1163,suganti
1164,dinesh kumari
1165,philips
1166, manjula tirger
1167,jahani
1168,tanisha rana
1169,arshi
1170,champa karketta
1171,sunita haddu
1172, vinita
1173,sanju
1174,tanuja
1175,luxmi
1176,hema devi
1177,dhawan
1178,kalu
1179,taj b
1180,swati
1181,sawana
1182,aarti bunkar
1183,nisha sharma  rajesh sharma
1184,khushi panday
1185,kharadi
1186,anu kumari
1187,begum bano
1188,gurmeet kaur
1189,rodadiya
1190,subhadra
1191, mholani
1192,hathun
1193,sajiya
1194,kavita gochar
1195,karina  kavita
1196, chetna verma
1197,ure
1198,jayotli
1199,vasu nanoma
1200,kosaleya sagar singh
1201,sheetal
1202,groti  rati
1203,gytri  garg
1204,anjali kiski
1205,merry kerakeha
1206,diksha vashist
1207,shanaz
1208,kumari kuljeet kaur
1209,shabnam
1210,sarla
1211,jhansi
1212,sefali  sweta
1213,babli
1214,sakuntala
1215,dhaneswar
1216,zhini
1217,gurmala
1218,oram
1219,laxmi  sujata
1220,childdheeraj
1221,hiri
1222,pushpanjali nayak
1223,jamrujaha
1224,chuni
1225,monti
1226,rozy
1227,poonam soni
1228,nathiya devi
1229,surjiya kumari
1230,lata mandal
1231,sudama with  children
1232,shivprasad
1233,hirawati
1234,simran aahuja
1235,madhubala
1236,farjanul nisha
1237,rani shrivastav
1238,moral
1239,sirjna suji
1240,asiya
1241,ku neha
1242,koslya
1243,sagira
1244,natasha
1245,minaksi mehra
1246,benjir heena mohd
1247,rachana
1248,rozina khatun
1249,prinka jha
1250,manju bai  bagri
1251,ku puja
1252,rumal
1253,jyoti sharma
1254,das
1255,neelam mentily ritayard
1256,vaishnav
1257,kamala
1258,isha maheswari
1259,umme kool sum sitara jahan
1260,gulab
1261,manisha rani
1262,premi devi
1263,parem
1264,tisha urf megha sen
1265,rani  devaram
1266,km rubi
1267,chitra
1268,arti
1269,samundri
1270,kishmat
1271,sarika mishra
1272,sahiba  rubi
1273, alkha
1274,chilwal
1275,mrs neha
1276,nisha kapoor
1277,shakuna bano
1278,rama mona
1279,goldan
1280,anglika
1281,kumari talat aara
1282,najma khatun
1283,kelwar
1284,koyali
1285,shrimati sunita devi
1286,anjali tiwari
1287,navjot
1288,sarmeela
1289,juber
1290,suman chobe
1291,ratmo devi
1292,iram aara
1293,aakhon
1294,dubey
1295,vharma
1296,ghyanshyam
1297,manisha  aamliya
1298,ameera lakra
1299,kamini alongwith her daughter namely megha ageyr
1300,asgari bagam
1301,rohini
1302,shana
1303,jeevanlata
1304,beeti
1305,menu kashyap
1306,firdous
1307,pradhan
1308,priyanka sagar
1309,singal
1310,maya dhaval
1311,bahadur
1312,trepti
1313,pool
1314,chortalai
1315,rekhwan
1316, aashma
1317,megha gupta
1318,natheniyal
1319,satwinder
1320,nureen
1321,murtibai
1322,km ankita
1323,pooja khatri
1324,yrs
1325,rashidrobhi
1326,meena 
1327,geeta  nazma
1328,sudhata
1329,deepa kumari
1330,ku neha raj
1331,lila kumari
1332,faruk
1333, pushpa
1334,sushmita
1335,asana
1336,sudha
1337,shabbo
1338,rani  raju
1339,maina devi
1340,fuli
1341,kumari puja
1342,kawal
1343,sonia devi
1344,seeta
1345,takshila
1346,antim
1347,sahishta
1348,anjara
1349,puja sharm
1350,gagan  mamta
1351,dhan bai
1352,raisha
1353,sonam kumari
1354, amrita singh
1355,marjina
1356,nilam bhoi
1357,sonishant
1358,meena  pawar
1359,santosh kumar vishvkarma
1360,meva
1361,bato devi
1362,aesha
1363,jhunna
1364,km gita
1365,juneb bano
1366,sonkar
1367,ramvati
1368,mahima aggarwal
1369,alima
1370,koda
1371,jingir
1372,sumaila
1373,ruchi devi
1374,kushmi
1375,badami
1376,seetal
1377,rambiri
1378,rekha devi  geeta
1379,lakhya dona sherppa
1380,shilap
1381,maruti
1382,munda
1383,gita pokharial
1384,kalawati
1385,kamlesh gupta
1386,megha bansal
1387,kanjar
1388, pinkimalti devi
1389, phoola devi
1390,kaarti devi
1391,veena rai
1392,durgash urf mahi
1393,sana khatoon
1394,ranjana devi
1395,sona sood
1396,khalique
1397,nisha  unknown
1398,kalpna
1399,nisha bano
1400,shikha
1401,jhunnu
1402,kajal  bulbul
1403,jaiwanti
1404,premlata
1405,nikita  sweety
1406,pramila urf pinki
1407,hamida
1408,raishma
1409,hemlata  makku
1410, bhavana
1411,renu mandiya
1412,aman jeet
1413,jayswal
1414,ajnoor
1415,parven devi
1416,rajeshwari
1417,minakshi
1418,miss laxmi kumari
1419, sima
1420,kour
1421,vimla gameti
1422,shivmurti
1423,sunar
1424,premla
1425,meetu
1426,ninama
1427,neha parveen
1428,gordi
1429,manju jha
1430,ramkanya veshnav
1431,jasvir
1432,naina
1433,suman lata
1434,bharti  hukkam chand
1435,lata devi
1436,gila bai
1437,shahnaz khatun
1438,anja
1439,hawa
1440,sana fatma
1441,bhanmati
1442,prachi  sharma
1443,taslima
1444,bhavana
1445,urvashi singh
1446,iesha
1447,Bakila
1448,anshul
1449,papiya dass
1450,suhana
1451,prajapati
1452,priya kumar
1453, hasina  nasima
1454,kushwah
1455,mani
1456,mamta begam
1457,archna
1458,susheela
1459,anshu rani
1460,gyan
1461,irshrat
1462,name
1463,nasima reshma
1464,tasnim
1465,kirti   son netik
1466,geetanjali
1467,pathik
1468,farveen
1469,guddo
1470,raghav
1471,shanaj bano
1472,aashu maheshwari
1473,girl
1474, joyti
1475,deepika burt
1476,gajana devi
1477,siya kandwal
1478,savita jain
1479,firdosh bano  asha
1480, divya  chhoti
1481,vidhya tiwari
1482,navdeep kaur
1483,nafisa
1484,kmo naina
1485,raju kanwar
1486,rashida
1487,sarasvati
1488,reena mehar
1489,vandhna
1490,lila
1491,monu
1492,aapa
1493,elvis
1494,sonika
1495,shalu sabarwal
1496,madhvi  sharma
1497,koshlya
1498,nisha  neeshu
1499,gitika
1500,lila bai
1501,manali
1502,arman
1503,badri
1504,mangubai
1505,safali
1506,madhu ishmta
1507,parvati bai
1508,suman  sabnam
1509,kaka
1510,marshilah
1511,geeta kumari
1512,aardhna
1513,sabrina
1514,anita garg
1515,vesali
1516,shivalika
1517, magla
1518, neeraj devi
1519,vijayanta
1520,rushali
1521,khushbhu
1522,kismat
1523,kanti kumari
1524,manju  taruna
1525,umiya
1526,hazira khatoon  saddik
1527,vaid
1528,ashu singh  gudiya
1529,mala witrh two child ritik age  rohan age yrs
1530,sonu morya
1531,kamna
1532,kawita
1533,usha damor
1534,rubina jahan
1535,pawan preet kaur
1536,oma
1537,neetu kapoor
1538,cour
1539,sumirta
1540,kumarilaxmi
1541,geeta rani
1542,manjeet kaur
1543,arjina sheikh
1544,ku
1545,keli
1546,neha mani
1547,s gaytri devi
1548,vill
1549, gulista
1550,bhawsar
1551,krishnamanisha
1552,hemlata  pooja
1553, puja
1554,verma
1555,deepak
1556,manjit
1557,husana
1558,nena devi
1559,alka rani
1560,radhab kumari
1561,sahiba
1562,radhabai
1563,dikshit
1564,sandiya
1565,roshan
1566,paagdiya
1567,meti kumari
1568,kanwer
1569,km shika
1570,pano
1571,ekamjeet
1572,zeba
1573,shanawazheena
1574,sahar
1575,manchand
1576,jainaf
1577,saaniya
1578,kiran gupta
1579,rupal
1580,sarwitavm
1581,rahila maqbool
1582, premkanta
1583,momina
1584,surender
1585,sntosh
1586,rakhi devi
1587,mahraval
1588,bhavna
1589,chanchl
1590,shaili
1591,lakhya
1592, gurmala devei
1593,faraheen khan
1594,ruksin
1595,sila
1596,reetima
1597,km maheswari
1598,madhuri kumari
1599,reenu
1600,babita kaushik
1601,mariyam
1602,guddi with her son  anand
1603,jhoti
1604,kalyani kumari
1605,meenakshi rawat
1606,narbada
1607,isha urf neesa verma
1608,anita vyas
1609,ganesi devi
1610,deepshikha
1611,sujata  sonu
1612, kali
1613,richa kumari
1614,deepansu
1615,kumari jeda
1616,phool watiya devi
1617,binni
1618,silpi kumari
1619,priyanka
1620,bhatt
1621,jaya
1622,jainab khan
1623,kesnata devi rajni
1624,bivla devi
1625,anita bai
1626,hurji
1627,poonam kumari
1628,salmakhatun
1629,kumari sonam
1630,manpreet kaur  preet
1631,kranti devi
1632,giri
1633,geeta bai
1634,lilavati
1635,vijay
1636,durga meghwal
1637,kamna devi
1638,lakhi
1639,jaimati
1640,manu
1641,yamini
1642,reka
1643,bagriya
1644,laskar
1645,shahina  moti
1646,shina
1647,anita suthar
1648, sohan bai
1649,mishara
1650,soam chokeyiyakra
1651,premkanta
1652,pirmika tirkey
1653,mansi raghav
1654,vivek
1655, shyani devi
1656,kiran devi
1657,anju tomar
1658,aarti sharma
1659,vandna krishma
1660,amrita
1661,nashrin
1662,liladevi
1663,ram rati
1664,arshla
1665,ramli
1666,maigo
1667,virjiniya
1668,asha kashyap
1669,tanya mishra
1670,ruvi
1671,punjabi
1672,sapna dubey
1673,ajay
1674,satosh
1675,shikha garg
1676,komal sharma
1677,usha parmanand
1678,hamida khatun
1679,kamlesh krant
1680,murum
1681,kanwar
1682,avi
1683,shayma
1684,garima  bhardwaj
1685,bhawar
1686,nishal
1687,rachna
1688, meera devi
1689,prity
1690,parbhuram
1691,tanuja devi
1692,vijaynti
1693, nidhi
1694,wadhva
1695,mehak
1696,fareen
1697,mahrun
1698,priyanka mandal
1699,meenu rani
1700,kmprinka
1701,savina
1702,vicakha
1703,shakuntala sharma
